@timestamp,event_type,source_ip,username,hostname,auth_status
2026-07-20T00:02:00,authentication,10.0.0.10,admin,WORKSTATION-018,success
2026-07-20T00:05:00,authentication,10.0.0.33,jsmith,WORKSTATION-044,success
2026-07-20T00:07:00,authentication,10.0.0.28,rpatel,WORKSTATION-003,success
2026-07-20T00:11:00,authentication,10.0.0.17,kwilliams,WORKSTATION-039,success
2026-07-20T00:15:00,authentication,10.0.0.32,admin,WORKSTATION-045,success
2026-07-20T00:19:00,authentication,10.0.0.24,kwilliams,WORKSTATION-018,success
2026-07-20T00:20:00,authentication,10.0.0.34,svc_backup,WORKSTATION-011,success
2026-07-20T00:26:00,authentication,10.0.0.18,agupta,WORKSTATION-014,failed
2026-07-20T00:32:00,authentication,10.0.0.13,jsmith,WORKSTATION-025,success
2026-07-20T00:38:00,authentication,10.0.0.29,mchen,WORKSTATION-003,success
2026-07-20T00:40:00,authentication,10.0.0.39,rpatel,WORKSTATION-006,success
2026-07-20T00:46:00,authentication,10.0.0.28,agupta,WORKSTATION-046,success
2026-07-20T00:50:00,authentication,10.0.0.34,mchen,WORKSTATION-006,success
2026-07-20T00:52:00,authentication,10.0.0.22,mchen,WORKSTATION-030,success
2026-07-20T00:58:00,authentication,10.0.0.15,mchen,WORKSTATION-023,success
2026-07-20T01:03:00,authentication,10.0.0.32,admin,WORKSTATION-042,success
2026-07-20T01:06:00,authentication,10.0.0.27,admin,WORKSTATION-016,success
2026-07-20T01:13:00,authentication,10.0.0.18,admin,WORKSTATION-045,success
2026-07-20T01:19:00,authentication,10.0.0.36,svc_backup,WORKSTATION-050,success
2026-07-20T01:20:00,authentication,10.0.0.35,mchen,WORKSTATION-026,success
2026-07-20T01:24:00,authentication,10.0.0.39,kwilliams,WORKSTATION-046,success
2026-07-20T01:32:00,authentication,10.0.0.22,admin,WORKSTATION-030,success
2026-07-20T01:35:00,authentication,10.0.0.17,admin,WORKSTATION-036,success
2026-07-20T01:42:00,authentication,10.0.0.38,kwilliams,WORKSTATION-026,success
2026-07-20T01:45:00,authentication,10.0.0.26,rpatel,WORKSTATION-006,success
2026-07-20T01:47:00,authentication,10.0.0.14,admin,WORKSTATION-011,success
2026-07-20T01:54:00,authentication,10.0.0.29,jsmith,WORKSTATION-025,success
2026-07-20T02:02:00,authentication,10.0.0.26,mchen,WORKSTATION-036,success
