@timestamp,event_type,hostname,user,parent_process,process_name,command_line,is_encoded,sender,recipient,attachment_name,attachment_flagged,event_id,task_name,task_command
2026-07-20T00:30:00,process_creation,WORKSTATION-026,jsmith,explorer.exe,chrome.exe,chrome.exe,False,,,,,,,
2026-07-20T00:44:00,process_creation,WORKSTATION-007,mchen,cmd.exe,ping.exe,ping.exe,False,,,,,,,
2026-07-20T00:57:00,process_creation,WORKSTATION-014,jsmith,cmd.exe,ping.exe,ping.exe,False,,,,,,,
2026-07-20T01:12:00,process_creation,WORKSTATION-027,jsmith,explorer.exe,outlook.exe,outlook.exe,False,,,,,,,
2026-07-20T01:37:00,process_creation,WORKSTATION-036,rpatel,explorer.exe,notepad.exe,notepad.exe,False,,,,,,,
2026-07-20T01:50:00,process_creation,WORKSTATION-008,agupta,cmd.exe,ping.exe,ping.exe,False,,,,,,,
2026-07-20T02:03:00,process_creation,WORKSTATION-038,rpatel,cmd.exe,ping.exe,ping.exe,False,,,,,,,
2026-07-20T02:16:00,process_creation,WORKSTATION-003,agupta,explorer.exe,chrome.exe,chrome.exe,False,,,,,,,
2026-07-20T02:44:00,process_creation,WORKSTATION-010,jsmith,explorer.exe,outlook.exe,outlook.exe,False,,,,,,,
2026-07-20T03:13:00,process_creation,WORKSTATION-044,agupta,cmd.exe,ping.exe,ping.exe,False,,,,,,,
2026-07-20T03:29:00,process_creation,WORKSTATION-037,agupta,cmd.exe,ping.exe,ping.exe,False,,,,,,,
2026-07-20T04:02:00,process_creation,WORKSTATION-036,jsmith,explorer.exe,notepad.exe,notepad.exe,False,,,,,,,
2026-07-20T04:15:00,process_creation,WORKSTATION-014,rpatel,cmd.exe,ping.exe,ping.exe,False,,,,,,,
2026-07-20T04:59:00,process_creation,WORKSTATION-050,mchen,explorer.exe,outlook.exe,outlook.exe,False,,,,,,,
2026-07-20T05:38:00,process_creation,WORKSTATION-030,mchen,cmd.exe,ping.exe,ping.exe,False,,,,,,,
2026-07-20T06:07:00,process_creation,WORKSTATION-012,agupta,explorer.exe,chrome.exe,chrome.exe,False,,,,,,,
2026-07-20T06:22:00,process_creation,WORKSTATION-020,rpatel,cmd.exe,ping.exe,ping.exe,False,,,,,,,
2026-07-20T06:53:00,process_creation,WORKSTATION-019,jsmith,explorer.exe,outlook.exe,outlook.exe,False,,,,,,,
2026-07-20T07:10:00,process_creation,WORKSTATION-027,agupta,cmd.exe,ping.exe,ping.exe,False,,,,,,,
2026-07-20T07:41:00,process_creation,WORKSTATION-032,rpatel,explorer.exe,chrome.exe,chrome.exe,False,,,,,,,
2026-07-20T07:53:00,process_creation,WORKSTATION-049,mchen,explorer.exe,notepad.exe,notepad.exe,False,,,,,,,
2026-07-20T08:24:00,process_creation,WORKSTATION-039,rpatel,services.exe,svchost.exe,svchost.exe,False,,,,,,,
2026-07-20T08:34:00,email_received,WORKSTATION-010,kwilliams,,,,,attacker@phishing-domain.example,kwilliams@corp.example,Q3_Financial_Summary.xlsm,True,,,
2026-07-20T08:49:00,process_creation,WORKSTATION-010,kwilliams,excel.exe,powershell.exe,powershell.exe -NoProfile -WindowStyle Hidden -EncodedCommand SQBFAFgA...,True,,,,,,,
2026-07-20T09:03:00,process_creation,WORKSTATION-006,mchen,explorer.exe,notepad.exe,notepad.exe,False,,,,,,,
2026-07-20T09:04:00,scheduled_task_creation,WORKSTATION-010,SYSTEM,,,,,,,,,4698.0,Windows Defender Update Check,C:\Windows\System32\powershell.exe -NoProfile -Enc SQBFAFgA...
2026-07-20T09:43:00,process_creation,WORKSTATION-004,mchen,explorer.exe,notepad.exe,notepad.exe,False,,,,,,,
2026-07-20T10:21:00,process_creation,WORKSTATION-046,rpatel,services.exe,svchost.exe,svchost.exe,False,,,,,,,
2026-07-20T10:53:00,process_creation,WORKSTATION-030,mchen,explorer.exe,notepad.exe,notepad.exe,False,,,,,,,
2026-07-20T11:13:00,process_creation,WORKSTATION-008,rpatel,cmd.exe,ping.exe,ping.exe,False,,,,,,,
